"2021/09 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/09/01","927.00",
"2021/09/02","933.00",
"2021/09/03","919.00",
"2021/09/06","896.00",
"2021/09/07","903.00",
"2021/09/08","912.00",
"2021/09/09","901.00",
"2021/09/10","925.00",
"2021/09/13","927.00",
"2021/09/14","947.00",
"2021/09/15","935.00",
"2021/09/16","936.00",
"2021/09/17","940.00",
"2021/09/22","911.00",
"2021/09/23","915.00",
"2021/09/24","920.00",
"2021/09/27","959.00",
"2021/09/28","957.00",
"2021/09/29","913.00",
"2021/09/30","905.00",
"Monthly Closing Average Price","924.05",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

